x	y	z
0	0	0
0,001	0,000999999833333342	0,000159235589171981
0,002	0,00199999866666693	0,000318470700637155
0,003	0,00299999550000203	0,00047770485668951
0,004	0,00399998933334187	0,000636937579624628
0,005	0,00499997916669271	0,000796168391740479
0,006	0,0059999640000648	0,000955396815338217
0,007	0,00699994283347339	0,00111462237272298
0,008	0,00799991466693973	0,00127384458620467
0,009	0,00899987850049207	0,00143306297809878
0,01	0,00999983333416666	0,00159227707072717
0,011	0,0109997781680088	0,00175148638641886
0,012	0,0119997120020736	0,00191069044751082
0,013	0,0129996338364274	0,0020698887763488
0,014	0,0139995426711485	0,00222908089528809
0,015	0,0149994375063281	0,00238826632669433
0,016	0,0159993173420714	0,00254744459294431
0,017	0,0169991811784987	0,00270661521642677
0,018	0,0179990280157463	0,00286577771954318
0,019	0,0189988568539673	0,00302493162470853
0,02	0,0199986666933331	0,00318407645435216
0,021	0,0209984565340338	0,00334321173091853
0,022	0,0219982253762798	0,00350233697686803
0,023	0,0229979722203022	0,00366145171467774
0,024	0,0239976960663543	0,0038205554668423
0,025	0,0249973959147123	0,00397964775587461
0,026	0,0259970707656765	0,00413872810430672
0,027	0,0269967196195722	0,00429779603469054
0,028	0,0279963414767504	0,00445685106959871
0,029	0,0289959353375895	0,00461589273162536
0,03	0,0299955002024957	0,00477492054338688
0,031	0,0309950350719041	0,00493393402752278
0,032	0,0319945389462801	0,00509293270669644
0,033	0,0329940108261198	0,00525191610359589
0,034	0,0339934497119515	0,00541088374093467
0,035	0,0349928546043362	0,00556983514145256
0,036	0,0359922245038693	0,00572876982791643
0,037	0,0369915584111808	0,00588768732312097
0,038	0,037990855326937	0,00604658714988956
0,039	0,0389901142518411	0,006205468831075
0,04	0,0399893341866342	0,00636433188956037
0,041	0,0409885141320964	0,00652317584825975
0,042	0,0419876530890479	0,00668200023011908
0,043	0,0429867500583498	0,00684080455811692
0,044	0,0439858040409052	0,00699958835526527
0,045	0,0449848140376602	0,00715835114461034
0,046	0,045983779049605	0,00731709244923334
0,047	0,0469826980777745	0,00747581179225133
0,048	0,0479815701232499	0,00763450869681794
0,049	0,0489803941871592	0,00779318268612422
0,05	0,0499791692706783	0,00795183328339941
0,051	0,0509778943750324	0,00811046001191175
0,052	0,0519765685014963	0,00826906239496925
0,053	0,0529751906513961	0,0084276399559205
0,054	0,0539737598261096	0,00858619221815549
0,055	0,0549722750270677	0,00874471870510636
0,056	0,0559707352557555	0,00890321894024821
0,057	0,0569691395137126	0,0090616924470999
0,058	0,057967486802535	0,00922013874922487
0,059	0,0589657761238754	0,00937855737023188
0,06	0,0599640064794446	0,00953694783377584
0,061	0,0609621768710123	0,00969530966355858
0,062	0,0619602863004082	0,0098536423833297
0,063	0,062958333769523	0,0100119455168873
0,064	0,0639563182803093	0,0101702185880788
0,065	0,0649542388347826	0,0103284611208017
0,066	0,0659520944350225	0,0104866726390045
0,067	0,0669498840831735	0,0106448526666872
0,068	0,0679476067814459	0,0108030007279026
0,069	0,0689452615321172	0,0109611163467566
0,07	0,0699428473375328	0,0111191990474092
0,071	0,0709403632001068	0,0112772483540752
0,072	0,0719378081223235	0,0114352637910251
0,073	0,0729351811067382	0,0115932448825861
0,074	0,0739324811559777	0,0117511911531424
0,075	0,0749297072727423	0,0119091021271362
0,076	0,0759268584598059	0,0120669773290688
0,077	0,0769239337200173	0,0122248162835009
0,078	0,0779209320563015	0,0123826185150538
0,079	0,07891785247166	0,0125403835484099
0,08	0,0799146939691727	0,0126981109083136
0,081	0,0809114555519981	0,0128558001195723
0,082	0,0819081362233746	0,0130134507070567
0,083	0,0829047349866217	0,0131710621957021
0,084	0,0839012508451408	0,013328634110509
0,085	0,084897682802416	0,0134861659765437
0,086	0,0858940298620155	0,0136436573189396
0,087	0,0868902910275923	0,0138011076628972
0,088	0,0878864653028853	0,0139585165336857
0,089	0,0888825516917203	0,0141158834566433
0,09	0,089878549198011	0,0142732079571783
0,091	0,0908744568257601	0,0144304895607694
0,092	0,0918702735790598	0,0145877277929673
0,093	0,0928659984620937	0,0147449221793945
0,094	0,0938616304791368	0,0149020722457469
0,095	0,0948571686345573	0,0150591775177943
0,096	0,095852611932817	0,0152162375213811
0,097	0,0968479593784728	0,0153732517824272
0,098	0,0978432099761773	0,0155302198269288
0,099	0,09883836273068	0,0156871411809591
0,1	0,0998334166468281	0,0158440153706692
0,101	0,100828370729568	0,0160008419222888
0,102	0,101823223983945	0,0161576203621271
0,103	0,102817975415108	0,0163143502165734
0,104	0,103812624028303	0,0164710310120981
0,105	0,104807168828882	0,0166276622752535
0,106	0,105801608822302	0,0167842435326744
0,107	0,106795943014122	0,0169407743110788
0,108	0,107790170410007	0,0170972541372692
0,109	0,108784290015732	0,0172536825381328
0,11	0,109778300837175	0,0174100590406428
0,111	0,110772201880326	0,0175663831718587
0,112	0,111765992151285	0,0177226544589274
0,113	0,112759670656261	0,0178788724290841
